"","Gleba","Ponto","Ano","NDVI","EVI","PH","MO","P","K","Ca","Mg","CTC","V%","S","B","Cu","Fe","Mn","Zn"
"729",4,20,2016,0.511278260869565,0.342578260869565,5.1,39,30,1,38,10,95,51.4,47,0.18,3.6,32,10.2,0.4
"730",4,21,2010,0.499647826086957,0.310447826086957,4.9,28,5,0.6,8,4,57,21.2,7,0.1,3.7,14,5.4,0.3
"731",4,21,2011,0.516508695652174,0.35224347826087,4.9,28,5,0.6,8,4,57,21.2,7,0.1,3.7,14,5.4,0.3
"732",4,21,2012,0.573204347826087,0.388773913043478,5.2,38,5,0.6,28,5,73,45.5,43,0.26,3,12,3.7,0.2
"733",4,21,2013,0.572369565217391,0.406595652173913,5.2,38,5,0.6,28,5,73,45.5,43,0.26,3,12,3.7,0.2
"734",4,21,2014,0.569852173913043,0.391269565217391,5.1,36,13,0.7,26,7,73,45.5,47,0.19,3.4,16,5.2,1.7
"735",4,21,2015,0.607982608695652,0.418365217391304,5.2,42,8,0.7,31,7,81,46.6,83,0.25,4.8,23,5.1,0.4
"736",4,21,2016,0.516904347826087,0.349430434782609,5.2,40,23,1.6,38,11,89,57.2,46,0.2,4,28,7.1,0.6
"737",4,22,2010,0.497526086956522,0.307247826086956,4.8,33,13,0.5,8,3,65,18,10,0.19,3.6,15,7.8,0.8
"738",4,22,2011,0.521786956521739,0.330582608695652,4.8,33,13,0.5,8,3,65,18,10,0.19,3.6,15,7.8,0.8
"739",4,22,2012,0.569860869565217,0.368182608695652,4.8,33,9,0.7,15,3,75,24.4,119,0.25,2.7,11,3.5,0.2
"740",4,22,2013,0.576821739130435,0.397647826086957,4.8,33,9,0.7,15,3,75,24.4,119,0.25,2.7,11,3.5,0.2
"741",4,22,2014,0.574052173913044,0.389230434782609,5.3,35,25,1.4,35,15,87,58.6,25,0.26,2.2,14,6.9,1.1
"742",4,22,2015,0.619295652173913,0.422065217391304,5.2,41,11,1.6,27,9,79,47.8,73,0.24,3.5,18,12.5,0.5
"743",4,22,2016,0.534113043478261,0.353639130434783,5,34,18,0.8,26,6,77,41.8,94,0.23,3.5,29,8.9,0.6
