"","gleba","ndvi_mean","ndvi_sd","ndvi_max","ndvi_min","ndvi_cv"
"1","Gleba 1",0.610085110695354,0.172728944032752,0.8876,0.0969,28.3122700430898
"2","Gleba 2",0.551766903216065,0.203634867126957,0.9268,0.0603,36.9059590091463
"3","Gleba 3",0.577630431547619,0.18752778514457,0.8975,0.1359,32.4650113468113
"4","Gleba 4",0.557061739624787,0.19921560382519,0.9398,0.111,35.761853606994
