"","Gleba","Ponto","NDVI","EVI","PH","MO","P","K","Ca","Mg","CTC","V%","S","B","Cu","Fe","Mn","Zn"
"1",1,1,0.642069082125604,0.427637198067633,5.16666666666667,31.3333333333333,23.5555555555556,1.47777777777778,31.5555555555556,11.6666666666667,81.5555555555556,54.6222222222222,40.7777777777778,0.203333333333333,2.96666666666667,18,13.9444444444444,1.12222222222222
"2",1,2,0.601499033816425,0.408487922705314,5.25555555555556,29,29.4444444444444,1.24444444444444,26.1111111111111,10.5555555555556,75.1111111111111,50.0222222222222,21.8888888888889,0.2,2.78888888888889,17.7777777777778,10.6444444444444,0.777777777777778
"3",1,3,0.632544444444444,0.438535265700483,5.15555555555556,33.3333333333333,38.2222222222222,1.23333333333333,31.4444444444444,10.6666666666667,82.4444444444444,51.9777777777778,29.2222222222222,0.218888888888889,2.86666666666667,20,11.3555555555556,0.877777777777778
"4",1,4,0.635528155339806,0.428964077669903,5.06666666666667,31.7777777777778,25.2222222222222,1.91111111111111,27.2222222222222,9.11111111111111,76.1111111111111,49.7666666666667,30.5555555555556,0.218888888888889,3,18,11.6222222222222,0.944444444444444
"5",1,5,0.631502427184466,0.419817961165049,5.18888888888889,29.4444444444444,26.5555555555556,1.08888888888889,25.3333333333333,9.11111111111111,71.8888888888889,48.0666666666667,31.6666666666667,0.207777777777778,2.82222222222222,14.2222222222222,6.48888888888889,0.611111111111111
"6",1,7,0.595549758454106,0.396091304347826,5.5,31.3333333333333,15.6666666666667,1.24444444444444,37.4444444444444,12.5555555555556,80.8888888888889,62.8444444444444,30.7777777777778,0.166666666666667,2.93333333333333,15.8888888888889,6.75555555555556,0.677777777777778
"7",1,8,0.595549758454106,0.399886473429952,5.23333333333333,30,14.6666666666667,1.38888888888889,26.5555555555556,8.22222222222222,74.6666666666667,45.5777777777778,45.3333333333333,0.146666666666667,2.7,15.7777777777778,5.88888888888889,0.6
"8",1,9,0.631228019323671,0.405009661835749,5.28888888888889,32.1111111111111,15.8888888888889,1.08888888888889,32.8888888888889,10,78.8888888888889,54.0444444444444,57.6666666666667,0.163333333333333,3.26666666666667,15,7.91111111111111,0.744444444444444
"9",1,10,0.572897584541063,0.380606763285024,5.22222222222222,31.4444444444444,24.4444444444444,0.877777777777778,30.2222222222222,9.77777777777778,77,52.4777777777778,58.1111111111111,0.168888888888889,6.1,23,11.6666666666667,1.2
"10",1,11,0.605234299516908,0.409939130434783,5.14444444444444,28.7777777777778,27.4444444444444,1.57777777777778,23.7777777777778,8.33333333333333,72.1111111111111,44.5555555555556,42.8888888888889,0.165555555555556,3.72222222222222,16.4444444444444,11.3888888888889,0.477777777777778
"11",1,12,0.617569565217391,0.425918357487923,5.16666666666667,32.1111111111111,23.8888888888889,0.855555555555556,30.2222222222222,9,74.8888888888889,52.2666666666667,40.6666666666667,0.195555555555556,3.22222222222222,18.7777777777778,9.5,0.8
"12",1,13,0.621810144927536,0.439294685990338,5.17777777777778,27.8888888888889,29.4444444444444,0.744444444444444,23.4444444444444,7.77777777777778,68.4444444444444,44.6777777777778,40.6666666666667,0.191111111111111,3.32222222222222,16.3333333333333,7.84444444444444,0.555555555555556
"13",1,14,0.615513043478261,0.431542512077295,5.46666666666667,29.8888888888889,39.6666666666667,0.911111111111111,32.7777777777778,12.2222222222222,77.6666666666667,58.8222222222222,34.6666666666667,0.181111111111111,3.62222222222222,17.6666666666667,8.64444444444444,0.677777777777778
"14",1,15,0.620051690821256,0.434490338164251,5.25555555555556,32.7777777777778,30.5555555555556,1.31111111111111,32.6666666666667,9.11111111111111,79.8888888888889,52.9555555555556,47.4444444444444,0.19,3.03333333333333,21.4444444444444,10.6222222222222,0.666666666666667
"15",1,16,0.625831400966184,0.440189371980676,5.41111111111111,38.5555555555556,31.4444444444444,1.33333333333333,36.8888888888889,10.4444444444444,83.6666666666667,58,24.6666666666667,0.164444444444444,3.01111111111111,26.7777777777778,13.3222222222222,0.877777777777778
"16",1,17,0.608153623188406,0.41683768115942,5.34444444444444,35.2222222222222,19.6666666666667,1.48888888888889,42,13,92.3333333333333,59.9666666666667,33.5555555555556,0.186666666666667,2.96666666666667,20.8888888888889,9.74444444444445,0.544444444444444
"17",1,18,0.608153623188406,0.437866666666667,5.23333333333333,31.6666666666667,25.5555555555556,1.46666666666667,30.8888888888889,11.3333333333333,82.5555555555556,51.7777777777778,24.2222222222222,0.216666666666667,3.28888888888889,25.8888888888889,8.95555555555556,0.566666666666667
"18",1,19,0.616610628019324,0.430847342995169,5.08888888888889,33.3333333333333,42.7777777777778,1,30,9.44444444444444,82.5555555555556,48.7222222222222,45.2222222222222,0.207777777777778,2.7,27.7777777777778,15.9,0.666666666666667
"19",1,20,0.607571497584541,0.418827536231884,5.21111111111111,29.2222222222222,36.3333333333333,0.955555555555556,27.3333333333333,9.44444444444444,73.2222222222222,50.9,44.3333333333333,0.216666666666667,3.3,19.3333333333333,9.35555555555556,0.6
"20",1,21,0.603297584541063,0.415494202898551,5.37777777777778,27.7777777777778,40.4444444444444,0.755555555555556,27.4444444444444,9.88888888888889,69.7777777777778,53.9777777777778,33.7777777777778,0.196666666666667,3.82222222222222,20.3333333333333,10.7222222222222,0.833333333333333
"21",1,22,0.597746859903382,0.400642512077295,5.15555555555556,31.8888888888889,29.6666666666667,0.866666666666667,31.6666666666667,10,80.2222222222222,50.9444444444444,56.1111111111111,0.228888888888889,3.1,21.2222222222222,14.7,0.7
"22",1,23,0.594972463768116,0.394527053140097,5.24444444444444,28.1111111111111,29.5555555555556,0.744444444444444,26,9.33333333333333,71.8888888888889,48.3444444444444,34.7777777777778,0.176666666666667,3.53333333333333,16.3333333333333,8.81111111111111,0.466666666666667
"23",1,24,0.581691787439613,0.367065217391304,5.43333333333333,32.3333333333333,26.4444444444444,0.788888888888889,31.3333333333333,10,74.6666666666667,54.8333333333333,29.4444444444444,0.175555555555556,6.12222222222222,16.7777777777778,8.13333333333333,0.477777777777778
"24",1,25,0.579877777777778,0.351754589371981,5.52222222222222,33.5555555555556,17.7777777777778,1.03333333333333,38.5555555555556,12.6666666666667,80.8888888888889,63.5666666666667,26.6666666666667,0.154444444444444,5.3,19.6666666666667,14.2,0.711111111111111
"25",1,26,0.581552657004831,0.354043961352657,5.12222222222222,30.6666666666667,36.7777777777778,0.988888888888889,27.6666666666667,8.33333333333333,73.8888888888889,49.4111111111111,41,0.215555555555556,3.4,19.2222222222222,11,0.877777777777778
"26",1,27,0.599438164251208,0.396749275362319,5.16666666666667,27.5555555555556,37.7777777777778,0.966666666666667,22.2222222222222,7.77777777777778,66.7777777777778,44.8555555555556,39.2222222222222,0.22,3.7,21.7777777777778,17.4777777777778,0.7
"27",1,28,0.60347729468599,0.410572946859903,5.23333333333333,29.2222222222222,36.3333333333333,1.26666666666667,24.1111111111111,8.22222222222222,67.5555555555556,48.3888888888889,31.6666666666667,0.191111111111111,3.62222222222222,24,13.1333333333333,0.644444444444444
"28",1,29,0.605220289855072,0.414574396135266,5.74444444444444,32.2222222222222,127.444444444444,1.47777777777778,58.6666666666667,11.3333333333333,100.888888888889,66,42.6666666666667,0.195555555555556,3,20.8888888888889,8.73333333333333,0.788888888888889
"29",1,30,0.605220289855072,0.414574396135266,5.11111111111111,31.2222222222222,27.5555555555556,1.43333333333333,28.5555555555556,8.88888888888889,75.1111111111111,50.4111111111111,47,0.233333333333333,3.25555555555556,28.4444444444444,13.2444444444444,1.16666666666667
"30",1,31,0.644102898550725,0.398965217391304,5.3,30.7777777777778,26.8888888888889,1.56666666666667,33.1111111111111,11.1111111111111,80,55.0222222222222,41.2222222222222,0.24,3.6,25.1111111111111,15.9444444444444,0.844444444444444
"31",2,1,0.630691304347826,0.382992753623188,5.03333333333333,24,6.66666666666667,1.4,19,6.33333333333333,58.6666666666667,41.2333333333333,55.3333333333333,0.233333333333333,3.56666666666667,13,9.73333333333333,0.266666666666667
"32",2,2,0.575700483091787,0.370847826086957,5.38888888888889,28.1111111111111,10.6666666666667,0.888888888888889,33.8888888888889,9.22222222222222,67.8111111111111,51.5111111111111,40.5555555555556,0.272222222222222,6.74444444444444,15,11.0555555555556,0.4
"33",2,3,0.630023188405797,0.383424154589372,4.88888888888889,30.4444444444444,10.2222222222222,0.811111111111111,23.8888888888889,6.77777777777778,73.8888888888889,41.4111111111111,50.1111111111111,0.238888888888889,2.44444444444444,14.2222222222222,8.16666666666667,0.266666666666667
"34",2,4,0.605983574879227,0.389475362318841,5.17777777777778,24.5555555555556,13.2222222222222,1.34444444444444,18.7777777777778,7.33333333333333,61.1111111111111,42.8222222222222,25.7777777777778,0.233333333333333,2.58888888888889,21.8888888888889,13.4,0.477777777777778
"35",2,5,0.600213526570048,0.375588405797101,5.12222222222222,27.1111111111111,8,0.988888888888889,27.4444444444444,11.6666666666667,75.3333333333333,51.0555555555556,39.6666666666667,0.244444444444444,2.61111111111111,20.4444444444444,17.4333333333333,0.422222222222222
"36",2,6,0.58907922705314,0.372600966183575,5.2,25.3333333333333,9.33333333333333,1.26666666666667,20,8.44444444444444,64.3333333333333,46.5,40.7777777777778,0.25,3.23333333333333,20,16.4,0.4
"37",2,7,0.588805797101449,0.373532850241546,4.87777777777778,25.6666666666667,7,0.911111111111111,22.2222222222222,8.33333333333333,70,43.8444444444444,45.2222222222222,0.236666666666667,2.06666666666667,18.2222222222222,13.1333333333333,0.344444444444444
"38",2,8,0.588711111111111,0.377351207729469,5.26666666666667,27.3333333333333,23.3333333333333,2.26666666666667,36.3333333333333,15,95.3333333333333,57.6666666666667,32,0.256666666666667,3.66666666666667,33.6666666666667,40.7333333333333,0.566666666666667
