"","Gleba","PH","MO","P","K","Ca","Mg","CTC","V%","S","B","Cu","Fe","Mn","Zn"
"1",1,4.73722221542451,13.057692275348,98.5639356647618,55.315594592653,41.3462307318354,33.6319443897337,16.8811359733941,20.9008039407441,69.3586834036435,21.4287160803129,27.5344896536473,31.6751691442515,66.7732933937044,57.34342992918
"2",2,5.84838865800677,12.0148975152413,58.026115060192,47.1715556737103,51.5822382837908,46.8472124580109,23.1795635763899,30.242827949011,74.9472092790575,33.0342003164966,84.5836812492323,39.7393974704088,73.6674005339845,70.1092555615179
"3",3,3.62639910526353,10.514751832399,51.01213951149,36.7252601943205,36.5014736380725,29.9653307229342,16.3394968673238,20.7421953289056,56.6229688031532,28.5343820043164,30.2044147650001,38.261774628872,53.6998938303751,67.8059725423401
"4",4,5.23661220935906,11.6196380066985,53.9039122124588,43.7042969447562,67.4232858239553,48.9078562075576,20.4809555325528,35.1425055228031,61.9391056041781,28.4422551107655,21.1219925468721,29.9482097970936,41.5791773015024,238.008772028922
