"","gleba","ndvi_mean","ndvi_sd","ndvi_max","ndvi_min","ndvi_cv"
"1","Gleba 1",0.546323011176857,0.220267177650255,0.9923,0.0431,40.3181219066296
"2","Gleba 2",0.517140403399721,0.214368461439516,0.9756,0.0052,41.4526616041293
"3","Gleba 3",0.54039409830933,0.204246389221885,0.9647,0.0634,37.7958215792674
"4","Gleba 4",0.521625388198758,0.215011379585129,0.9826,0.004,41.21950051695
