"","Gleba","PH","MO","P","K","Ca","Mg","CTC","V%","S","B","Cu","Fe","Mn","Zn"
"1",1,0.24985026845868,4.07830575223594,31.22251123316,0.645348603580952,12.878091220776,3.3897142517538,13.1243268960176,11.0545026262077,26.5526916643124,0.0417053506509315,0.952456486191219,6.30324512863386,7.19811316168119,0.421340614174979
"2",2,0.295244741430777,3.40944483113658,7.23784681572057,0.482881770398996,11.5225251122825,3.94014477726556,16.5205340730219,12.8669353364321,25.8477356059513,0.0795693346753876,2.3977634858478,6.48884847584453,8.51196563271421,0.302113313820647
"3",3,0.189758307027347,3.27069444017411,12.9050902937241,0.316049114172278,10.3818614443672,3.10314049890385,12.6112635917316,10.3122616296256,21.124722976561,0.0616507272727875,0.887254683721877,5.18741367564515,3.81424149735558,0.379452654035019
"4",4,0.266187119784983,4.07468482369353,8.57706367851183,0.38434072901418,16.4365506029659,3.435879646178,15.7746384818162,14.0016306142849,26.7873619320927,0.0624415054427521,0.652563072256936,4.84582167767259,2.49702176962342,1.50405543332562
