"","Gleba","PH","MO","P","K","Ca","Mg","CTC","V%","S","B","Cu","Fe","Mn","Zn"
"1",1,5.2741935483871,31.2329749103943,31.6774193548387,1.16666666666667,31.1469534050179,10.078853046595,77.7455197132616,52.8903225806452,38.2831541218638,0.194623655913979,3.45913978494624,19.8996415770609,10.7799283154122,0.734767025089606
"2",2,5.04830917874396,28.3768115942029,12.4734299516908,1.02367149758454,22.3381642512077,8.41062801932367,71.2719806763285,42.5454106280193,34.487922705314,0.240869565217391,2.83478260869565,16.3285024154589,11.5545893719807,0.430917874396135
"3",3,5.23269230769231,31.1057692307692,25.2980769230769,0.860576923076923,28.4423076923077,10.3557692307692,77.1826923076923,49.7163461538462,37.3076923076923,0.216057692307692,2.9375,13.5576923076923,7.10288461538462,0.559615384615385
"4",4,5.08319327731092,35.0672268907563,15.9117647058824,0.879411764705882,24.3781512605042,7.02521008403361,77.0210084033613,39.8424369747899,43.2478991596639,0.21953781512605,3.08949579831933,16.1806722689076,6.00546218487395,0.631932773109244
